,Azamiuma,Hachi,Ga350,Ga550,Ga350550,Y
640,0.83,0,2.25E-42,0.083126024,0.083126024,0.175
641,0.828936,0,1.07E-42,0.078217954,0.078217954,0.1672
642,0.827888,0,5.07E-43,0.073538121,0.073538121,0.1596
643,0.826872,0,2.40E-43,0.06908025,0.06908025,0.1523
644,0.825904,0,1.13E-43,0.064837941,0.064837941,0.1451
645,0.825,0,5.31E-44,0.060804699,0.060804699,0.1382
646,0.82472,0,2.49E-44,0.056973952,0.056973952,0.1315
647,0.8245,0,1.16E-44,0.05333908,0.05333908,0.125
648,0.82432,0,5.41E-45,0.049893427,0.049893427,0.1188
649,0.82416,0,2.51E-45,0.04663033,0.04663033,0.1128
650,0.824,0,1.16E-45,0.043543134,0.043543134,0.107
651,0.823624,0,5.36E-46,0.040625211,0.040625211,0.1015
652,0.823232,0,2.47E-46,0.037869975,0.037869975,0.0962
653,0.822828,0,1.13E-46,0.035270905,0.035270905,0.0911
654,0.822416,0,5.18E-47,0.03282155,0.03282155,0.0863
655,0.822,0,2.36E-47,0.03051555,0.03051555,0.0816
656,0.822368,0,1.07E-47,0.028346648,0.028346648,0.0771
657,0.822544,0,4.86E-48,0.026308697,0.026308697,0.0728
658,0.822336,0,2.20E-48,0.024395675,0.024395675,0.0687
659,0.821552,0,9.90E-49,0.022601695,0.022601695,0.0648
660,0.82,0,4.45E-49,0.020921006,0.020921006,0.061
661,0.810672,0,1.99E-49,0.019348011,0.019348011,0.0574
662,0.800696,0,8.90E-50,0.017877263,0.017877263,0.0539
663,0.790384,0,3.96E-50,0.016503479,0.016503479,0.0507
664,0.780048,0,1.76E-50,0.015221538,0.015221538,0.0475
665,0.77,0,7.78E-51,0.014026486,0.014026486,0.0446
666,0.76512,0,3.43E-51,0.012913544,0.012913544,0.0418
667,0.76076,0,1.51E-51,0.011878099,0.011878099,0.0391
668,0.75684,0,6.62E-52,0.010915716,0.010915716,0.0366
669,0.75328,0,2.90E-52,0.010022133,0.010022133,0.0342
670,0.75,0,1.26E-52,0.009193261,0.009193261,0.032
671,0.74816,0,5.49E-53,0.008425182,0.008425182,0.03
672,0.74638,0,2.38E-53,0.007714151,0.007714151,0.0281
673,0.74452,0,1.03E-53,0.007056591,0.007056591,0.0263
674,0.74244,0,4.43E-54,0.006449094,0.006449094,0.0247
675,0.74,0,1.90E-54,0.005888411,0.005888411,0.0232
676,0.73376,0,8.15E-55,0.005371458,0.005371458,0.0218
677,0.72708,0,3.48E-55,0.004895305,0.004895305,0.0205
678,0.72002,0,1.48E-55,0.004457175,0.004457175,0.0193
679,0.71264,0,6.28E-56,0.004054441,0.004054441,0.0181
680,0.705,0,2.66E-56,0.003684617,0.003684617,0.017
681,0.69568,0,1.12E-56,0.00334536,0.00334536,0.0159
682,0.68634,0,4.72E-57,0.003034459,0.003034459,0.0148
683,0.67716,0,1.98E-57,0.002749835,0.002749835,0.0138
684,0.66832,0,8.28E-58,0.002489533,0.002489533,0.0128
685,0.66,0,3.45E-58,0.002251718,0.002251718,0.0119
686,0.65716,0,1.44E-58,0.002034669,0.002034669,0.0111
687,0.65488,0,5.95E-59,0.001836776,0.001836776,0.0103
688,0.65302,0,2.46E-59,0.001656533,0.001656533,0.0095
689,0.65144,0,1.01E-59,0.001492536,0.001492536,0.0088
690,0.65,0,4.16E-60,0.001343473,0.001343473,0.0082
691,0.64816,0,1.71E-60,0.001208124,0.001208124,0.0076
692,0.64628,0,6.96E-61,0.001085355,0.001085355,0.0071
693,0.64432,0,2.84E-61,0.000974111,0.000974111,0.0066
694,0.64224,0,1.15E-61,0.000873415,0.000873415,0.0061
695,0.64,0,4.66E-62,0.000782361,0.000782361,0.0057
696,0.63624,0,1.88E-62,0.000700111,0.000700111,0.0053
697,0.63232,0,7.57E-63,0.000625892,0.000625892,0.005
698,0.62828,0,3.04E-63,0.000558989,0.000558989,0.0047
699,0.62416,0,1.22E-63,0.000498744,0.000498744,0.0044
700,0.62,0,4.85E-64,0.000444552,0.000444552,0.0041
701,0.616,0,0,0,0,0.0038
702,0.612,0,0,0,0,0.0036
703,0.608,0,0,0,0,0.0034
704,0.604,0,0,0,0,0.0031
705,0.6,0,0,0,0,0.0029
706,0.596,0,0,0,0,0.0027
707,0.592,0,0,0,0,0.0026
708,0.588,0,0,0,0,0.0024
709,0.584,0,0,0,0,0.0022
710,0.58,0,0,0,0,0.0021
711,0.576,0,0,0,0,0.002
712,0.572,0,0,0,0,0.0018
713,0.568,0,0,0,0,0.0017
714,0.564,0,0,0,0,0.0016
715,0.56,0,0,0,0,0.0015
716,0.556,0,0,0,0,0.0014
717,0.552,0,0,0,0,0.0013
718,0.548,0,0,0,0,0.0012
719,0.544,0,0,0,0,0.0011
720,0.54,0,0,0,0,0.001
721,0.536,0,0,0,0,0.001
722,0.532,0,0,0,0,0.0009
723,0.528,0,0,0,0,0.0008
724,0.524,0,0,0,0,0.0008
725,0.52,0,0,0,0,0.0007
726,0.516,0,0,0,0,0.0007
727,0.512,0,0,0,0,0.0006
728,0.508,0,0,0,0,0.0006
729,0.504,0,0,0,0,0.0006
730,0.5,0,0,0,0,0.0005
731,0.496,0,0,0,0,0.0005
732,0.492,0,0,0,0,0.0004
733,0.488,0,0,0,0,0.0004
734,0.484,0,0,0,0,0.0004
735,0.48,0,0,0,0,0.0004
736,0.48304,0,0,0,0,0.0003
